body,rating
"Titanfall 2 is a dramatic symphony of astonishing mobility, exciting battles, and breath-taking mechanized battles. Its unique blend of pilot and Titan gameplay as well as the fact that its campaign and infinite multiplayer options are top-notch solidifies its position as a monumental achievement in the FPS genre. Would highly recommend!",5.0
"No other game can compare to this hidden gem! The campaign is amazing, fighting dinosaurs, traveling in time, controlling a giant mech, you can’t go wrong with it! Multiplayer is down? No worries, google Northstar TITANFALL and you’ll find the best community to play online, I own multiple copies of this and give them away to my friends!The More the Merrier!",5.0
But Also A Great Multiplayer Game If You Havent Already Give It A Chance Its Worth Playing A Least Once,5.0
The code is invalid! The code i received was 20 characters the code needed is 25 characters.,1.0
"If you enjoyed #1, you'll really enjoy this one.Combat is very similar to the original. Fast paced, love the wall running. Grappling hook and other abilities add some nice variety.Single player, while not groundbreaking is very nicely done. Only about 8 hours worth of gameplay there, very simplistic story, but the game is fun and the interactions between your titan and the pilot are enjoyable.Multiplayer is where this shines and it's better than the original. I docked one star because until the most recent update there was an issue with some PC systems where you could not play multiplayer without going through and adjusting your network settings (I've never had to do this for any other game). I think that's pretty unacceptable for a multiplayer focused PC game, however the new patch fixed that.",4.0
"Great first-person shooter with the addition of Mechs.  If you played the first Titanfall, Respawn listen to feedback and made changes to the core game to deliver a better game this time around. This is easily one of the best games I have played this year!  The game is smooth and feels fast but the system requirements are high with the minimum system specs for the video card at a GTX 1060 with 6gb vram.Many people have rated this low due to this game being a digital copy, not the actual game. The box art clearly shows that it is a digital copy only, no disc included. However, I agree the person making the add should have done a better job at including it in the written description as well. That is no reason to rate this game as a one-three stars for a sales description on Amazon that still shows it was a digital copy had you looked for it.",5.0
"This is probably my favorite game that I have played. The storyline, while short, is amazing storytelling, and makes you really love BT. The multiplayer is fast paced and extremely fun to play, as titans with masterful drivers can change the course of the battle. Camping is discouraged, as it is everything moves so fast. All guns can be bought with credits earned in game, or unlocked by levelling your pilot. Although SMGs are encouraged to use as they can kill faster, all the weapons in game are fun to use. Weapons like the Kraber, a 1 shot sniper, is incredibly hard to master, but when you do every kill is incredibly satisfying. At only $30, this is a steal, as all dlc is free, and the only purchases available are for skins. I highly recommend this game to anyone who is into shooters, and a fun single player campaign(albeit a short one).",5.0
"I see many people complaining about how this doesn't come with a physical disc. Well this is EA's new practice (just like Battlefield 1) and it says NO DISC on the top right of the cover art (dunno why it isn't emphasized in the description though)HOWEVER, you SHOULD order THIS version if:1. You are a Prime member. You save 20% on this ""physical"" version and pay only $47.99+tax. But you do need to wait for the shipment to actually arrive, so you generally cannot play the minute it is unlocked on Origin.2. You want to gift this to another person. A physical box containing a code is a better idea than just giving a code as a gift.3. You like to collect physical boxes of video games and display them on a bookshelf.I bought this version for reasons 1 and 3. It should be a no-brainer option for you if you are Prime.",5.0
"The single player campaign is fantastic in this new version of Titanfall. I really enjoyed the story and couldn't resist coming back to it until I had it beat. Graphics are great, gameplay is fun, you won't regret getting it! There are multiple in-game purchases for additional titans, paint kits, etc.Multiplayer game play has lots of progression by leveling your character, weapons, titans, earning banners and other such items via achievements.The only thing I think could use some refining is the way the multiplayer game sessions are chosen - it seems a bit slow at times taking a few minutes to get into a game. Also the ""happy hour"" bonuses only start very late at night so they're hard to take advantage of except on weekends.Overall a very good game!",4.0
"First, thank you Amazon for shipping it on release day. Secondly, I regret pre-ordering the game. I love Titanfall! I played the hell out if it and all of its DLCs, it had a fun and unique game-play and I was hoping for more in Titanfall 2. But Titanfall 2 Multiplayer was just a disappointment. I respect all of the Titanfall fans out there, so don't take it personally. I had high expectations, ignoring early reviews, and believing in Respawn to deliver another fun experience. Unfortunately, after finally receiving the game, and just to warm up, I highly enjoyed the short single player mode. However multiplayer was a disaster. Besides the core gameplay features such as wall sprinting, jet packs, and Titanfalls, everything that used to be fun has changed. Whether the change was pulled by Respawn or EA, I feel betrayed and deeply disappointing. As much as I try to forcefully accept and enjoy the game for what it is, I just can't play multiplayer the same way. For those of you who enjoy Call of Duty and Battlefield genres, this game may be appealing to you, but Titalfall is supposed to stand apart from those genres and introduce a different FPS experience. As far as the fans are concreted, I'm a huge Titanfall multiplayer fanatic and enjoyed what was fun and unique about Titanfall. If you're looking to have the same experience, reconsider buying this game now. Although I am a proponent in supporting the developers, the game not worth it's full price. I may jump back into multiplayer whenever a patch fixes it.",2.0
